label|,|ques
A/代表大会|,|肥西县柿树岗乡科协第三次代表大会召开
A/代表大会|,|肥西县桃花镇召开科协第三次代表大会
A/主题活动|,|肥西县三河镇举办65”世界环境日主题宣传活动
A/开展主题党日活动|,|省科协组织机关退离休干部开展两岸情缘”主题党日活动
A/传达学习,A/十九大|,|各党支部传达学习党的十九大精神进展情况之九
A/工作会议|,|肥东县召开2019年全县科普工作会议
A/主题活动|,|省医学保健养生研究会党委组织开展不忘初心 牢记使命”主题系列活动
A/开展主题党日活动|,|肥东县科协开展不忘初心牢记使命”七一主题党日活动
A/工作会议|,|肥东县召开2018年全县科普工作会议
A/贯彻学习|,|肥东县科协贯彻落实全县党建工作会议精神
A/十九大,A/贯彻学习|,|肥东县科协多措并举学习贯彻党的十九大精神
A/廉政教育组织党员干部参观|,|肥东县科协组织党员干部参观省党风廉政教育展
A/组织生活会|,|肥东县科协召开讲重做”专题警示教育民主生活会暨组织生活会
A/工作会议|,|肥东县科协工作会议召开
A/主题活动|,|王洵赴合肥开展不忘初心牢记使命”主题教育专题调研活动
A/传达学习,A/十九大|,|各党支部传达学习党的十九大精神进展情况之四
A/组织学习|,|机关第三党支部组织开展革命传统教育重温入党誓词
A/学习研讨|,|2016化石保护研讨会在合肥召开
A/开展主题党日活动|,|庐江县科协党支部开展科普进社区主题党日活动
A/代表大会|,|庐江县科学技术协会召开第五次代表大会
A/报告会,A/理论学习|,|庐江县经济发展与干部学习论坛科普报告会举办
A/报告会|,|庐江县举办科普报告会
A/主题活动|,|长丰县科技馆开展清明节环保科普主题系列活动
A/开展主题党日活动|,|缅怀先烈 牢记使命 长丰县科协赴焦裕禄纪念馆红旗渠开展主题党日活动
A/主题活动|,|长丰县科协参加宣传贯彻志愿服务条例主题实践暨圆梦微心愿”活动
A/十九大|,|合肥市科协开展纪念建党96周年和喜迎十九大”系列活动
A/主题活动|,|省科协食品安全主题日活动走进长丰县岗集镇
A/党课党会|,|王海彦同志为长丰县岗集镇龙岗社区党员讲党课
A/主题活动|,|长丰县岗集镇举办食品安全宣传主题演讲比赛
A/工作会议|,|长丰县岗集镇科协工作会议召开
A/主题活动|,|合肥市庐阳区防震减灾”主题科普嘉年华活动举办
A/工作会议|,|合肥市蜀山区科协召开2017年科协工作会议
A/工作会议|,|合肥市蜀山区科协召开社区科普大学教学工作会议
A/代表大会|,|合肥市包河区科协第二次代表大会召开
A/报告会|,|怀远县科协举办农村生态环境与健康生活科普报告会
A/工作会议|,|固镇县召开2019年全民科学素质工作会议
A/代表大会|,|五河县科协召开第七次代表大会
A/工作会议|,|蚌埠市龙子湖区科普工作会议召开
A/代表大会|,|蚌埠市蚌山区科学技术协会第二次代表大会召开
A/代表大会|,|桐城市科协第四次代表大会召开
A/代表大会|,|桐城市科学技术协会召开第四次代表大会
A/十九大,A/贯彻学习|,|桐城市科协围绕提升三性” 学习贯彻党的十九大精神
A/十九大,A/贯彻学习|,|桐城市科协召开学习贯彻党的十九大精神专题会
A/十九大|,|桐城市科协组织收看党的十九大开幕式
A/组织党员干部观看红色电影|,|桐城市科协组织机关全体党员干部观看榜样
A/传达学习|,|桐城市科协传达学习省科协九届六次全委会议精神
A/主题活动|,|宿松县开展低碳生活绿色出行”主题宣传活动
A/代表大会|,|宿松县科协第三次代表大会召开
A/年度民主生活会|,|怀宁县科协党组召开讲重作”专题警示教育民主生活会
A/组织党员干部参观|,|怀宁县科协组织党员科技工作者服务团开展听民声送技术活动
B/会员大会|,|庐江县举办茶叶协会二届二次会员大会暨庐江县茶叶公共品牌培训会
B/全委扩大会议|,|庐江县科协四届六次全委会议召开
B/全委扩大会议|,|长丰县科协召开三届二次全委会议
B/全委扩大会议|,|怀远县科协召开五届三次全委会议
B/全委扩大会议|,|五河县科协七届三次全委会议召开
B/全委扩大会议|,|桐城市科协召开四届二次全委会暨全民科学素质工作会议
B/换届,B/选举|,|桐城市养猪协会召开第三届换届选举大会
B/全委扩大会议|,|桐城市科协召开三届六次全委会议
B/全委扩大会议|,|安庆市大观区科协三届二次全委会议召开
B/全委扩大会议|,|安庆市迎江区科协学习贯彻省科协九届八次全委会等会议精神
B/提升科协基层组织工作|,|铜陵市义安区全面完成科协基层组织31”吸纳工作
B/全委扩大会议|,|铜陵市郊区科协召开四届二次全委会
B/会员大会|,|黄山市休宁县老科协第二次会员大会召开
B/常委会,B/听取工作汇报|,|中共休宁县委常委会听取科协工作汇报
